bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
86332,PV_RENEW_NAR,33.0,86312,NARD1B,0.2501,86311,NARD1A,0.2506,2,1.001999200319872
81830,KILL3- C,33.0,81810,KILL1-CL,0.2461,,,,1,
81831,EGLISH,33.0,81810,KILL1-CL,0.26026,,,,1,
81832,WIND_CAR,33.0,81810,KILL1-CL,0.2494,,,,1,
21601,SPA ROAD,10.0,2161,DOON,2.0892,,,,1,
21604,DOON,38.0,2161,DOON,0.4,,,,1,
21611,GLASHA HYDRO,10.0,2161,DOON,2.0893,,,,1,
21612,LAWLESSTOWN,20.0,2161,DOON,1.3159,,,,1,
21614,SPA ROAD,38.0,2161,DOON,0.59575,,,,1,
21622,LAWCLON,20.0,2161,DOON,1.4559000000000002,,,,1,
21624,DOON WF,38.0,2161,DOON,0.64515,,,,1,
21634,LAWLESSTOWN,38.0,2161,DOON,0.5159,,,,1,
21641,ARDGEEHA,10.0,2161,DOON,1.31098,,,,1,
21671,HY_GLASHA_HY,0.4,2161,DOON,6.089300000000001,,,,1,
22501,DARDISTOWN,10.0,2251,DARDISTOWN,1.1,,,,1,
83030,LARN3-,33.0,83012,LARN1B,0.2771,83011,LARN1A,0.2778,2,1.002526163839769
83031,BALC3-,33.0,83012,LARN1B,0.7477,83011,LARN1A,0.7484,2,1.0009362043600374
83090,RENEW_LA,33.0,83012,LARN1B,0.2772,83011,LARN1A,0.2779,2,1.0025252525252524
83091,WIND_EH&,33.0,83012,LARN1B,1.3056,83011,LARN1A,1.3063,2,1.0005361519607843
83092,BALYKEEL,33.0,83012,LARN1B,0.2773,83011,LARN1A,0.27799999999999997,2,1.002524341868013
16421,CASH,10.5,star:1642-1641-16421-1,star point,0.0075,,,,1,
40912,MEENADREEN,20.0,4091,MULREAVY,1.1,,,,1,
40922,CROAGHNAMEAL,20.0,4091,MULREAVY,1.1674,,,,1,
40932,MEENADREEN S,20.0,4091,MULREAVY,1.3984,,,,1,
40972,W_CROAGHNAME,0.69,4091,MULREAVY,2.2854,,,,1,
40973,W_MEENADREEN,0.4,4091,MULREAVY,2.8984,,,,1,
68308,W_MEENAD_S_P,0.69,4091,MULREAVY,2.4274,,,,1,
34803,KELWIN,33.0,3481,COOLNANOONAG,0.06,,,,1,
34813,KELWIN,33.0,3481,COOLNANOONAG,0.1664,,,,1,
34871,BS_KELWIN,0.69,3481,COOLNANOONAG,0.2924,,,,1,
34872,W_KELWIN P3,0.69,3481,COOLNANOONAG,0.12,,,,1,
84530,LOGE3-,33.0,84511,LOGE1A,0.2738,84512,LOGE1B,0.28,2,1.0226442658875092
84590,RENEW_LO,33.0,84511,LOGE1A,0.4938,84512,LOGE1B,0.5,2,1.012555690562981
16312,CORDERRY,20.0,1631,CORDERRY,0.33,,,,1,
16354,CORDERRY,20.0,1631,CORDERRY,1.2926,,,,1,
16364,CORDERRY,20.0,1631,CORDERRY,1.3145,,,,1,
16365,CORDERRY,20.0,1631,CORDERRY,1.3145,,,,1,
16367,TULLYNAMOYLA,20.0,1631,CORDERRY,0.8200000000000001,,,,1,
16374,W_ALTAGOWLAN,0.69,1631,CORDERRY,2.0585,,,,1,
16375,W_MONEENATIE,0.69,1631,CORDERRY,2.6545,,,,1,
16377,W_TULLYNAMOY,0.4,1631,CORDERRY,1.415,,,,1,
16382,W_TULLYNAMOY,0.4,1631,CORDERRY,0.9904,,,,1,
16384,TULLYNAMOYLA,20.0,1631,CORDERRY,0.5164,,,,1,
16392,W_TULLYNAMOY,0.4,1631,CORDERRY,0.9114,,,,1,
16394,TULLYNAMOYLA,20.0,1631,CORDERRY,0.5164,,,,1,
75030,COLE3-,33.0,75010,COLE1-,0.2508,,,,1,
75031,BMNY3-,33.0,75010,COLE1-,0.6529,,,,1,
75032,GRVN3-,33.0,75010,COLE1-,0.8183,,,,1,
75080,COLE3_DU,33.0,75010,COLE1-,0.5582,,,,1,
75090,RENEW_CO,33.0,75010,COLE1-,0.2509,,,,1,
75091,WIND_RIG,33.0,75010,COLE1-,0.8597,,,,1,
75092,WIND_GRU,33.0,75010,COLE1-,1.3243,,,,1,
75093,WIND_GAR,33.0,75010,COLE1-,0.9540000000000001,,,,1,
75094,WIND_DNM,33.0,75010,COLE1-,0.3749,,,,1,
75095,WIND_DUN,33.0,75010,COLE1-,0.33790000000000003,,,,1,
19902,CASTLEDOCKRI,20.0,1991,CASTLEDOCKRE,0.178,,,,1,
19971,W_CASTLEDOCK,0.4,1991,CASTLEDOCKRE,0.4446,,,,1,
19972,W_CASTLEDOCK,0.4,1991,CASTLEDOCKRE,2.558,,,,1,
19973,W_CASTLEDOCK,0.4,1991,CASTLEDOCKRE,2.558,,,,1,
19974,W_CASTLEDOCK,0.4,1991,CASTLEDOCKRE,0.518,,,,1,
55002,WEXFORD,20.0,5501,WEXFORD,1.1,,,,1,
69302,WOODHOUSE,20.0,6931,WOODHOUSE,0.31,,,,1,
69335,W_WOODHOUS_P,0.66,6931,WOODHOUSE,0.516,,,,1,
89530,STRA3-,33.0,89510,STRABANE,0.2516,,,,1,
89531,ARDS3-,33.0,89510,STRABANE,0.8174999999999999,,,,1,
89532,CDRG3-,33.0,89510,STRABANE,1.1803,,,,1,
89533,CLDY3-,33.0,89510,STRABANE,0.9327000000000001,,,,1,
89534,PLUM3-,33.0,89510,STRABANE,1.0401,,,,1,
89535,SION3-,33.0,89510,STRABANE,0.5518,,,,1,
89580,STRA3_DU,33.0,89510,STRABANE,0.5585,,,,1,
89581,STRA3_DU,33.0,89510,STRABANE,0.9539,,,,1,
89582,STRA3_DU,33.0,89510,STRABANE,1.1542,,,,1,
89583,STRA3_DU,33.0,89510,STRABANE,1.402,,,,1,
89590,RENEW_ST,33.0,89510,STRABANE,0.2517,,,,1,
89591,WIND_OWE,33.0,89510,STRABANE,1.1181999999999999,,,,1,
89592,WIND_BIN,33.0,89510,STRABANE,1.4053,,,,1,
89593,WIND_LHI,33.0,89510,STRABANE,1.4141,,,,1,
54401,GRANAGH 10,10.0,5441,WATERFORD,1.1995900000000002,,,,1,
54402,ROSBERCON1 2,20.0,5441,WATERFORD,2.12489,,,,1,
54404,HY_WATERFORD,38.0,5441,WATERFORD,0.386,,,,1,
54412,ROSBERCON2 2,20.0,5441,WATERFORD,1.29189,,,,1,
54414,GRANAGH 38,38.0,5441,WATERFORD,0.53259,,,,1,
54422,RAHORA BYPAS,20.0,5441,WATERFORD,1.7956400000000001,,,,1,
54424,ROSBERCON 38,38.0,5441,WATERFORD,0.62489,,,,1,
54425,RAHORA 20,20.0,5441,WATERFORD,2.6286400000000003,,,,1,
54426,BALLYMARTIN,20.0,5441,WATERFORD,2.7056400000000003,,,,1,
54431,CURRAGHMARTI,10.0,5441,WATERFORD,1.61959,,,,1,
54471,W_RAHORA,0.4,5441,WATERFORD,3.96164,,,,1,
54472,W_BALLYMAR,0.4,5441,WATERFORD,3.4986400000000004,,,,1,
54473,PV_CURRAGHMA,0.4,5441,WATERFORD,2.74959,,,,1,
54474,PV_FARRANMAC,0.8,5441,WATERFORD,2.379,,,,1,
54484,FARRANMACEDM,20.0,5441,WATERFORD,1.5859999999999999,,,,1,
