name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
2401,110.0,-7.2520289,53.262337,1.06199,PQ,,0,MOUNT LUCAS,MOUNT LUCAS,1.0,11.0,11.0,IE,-6.371,geocoded,True
2421,110.0,-6.4476689,53.3238429,1.05672,PQ,,0,CORKAGH,CORKAGH,1.0,11.0,11.0,IE,-7.0426,geocoded,True
2481,110.0,-6.1967385,53.2562454,1.05496,PQ,,0,FASS EAST,FASS EAST,1.0,11.0,11.0,IE,-6.0957,neighbour mean,False
2491,110.0,-6.1967385,53.2562454,1.05516,PQ,,0,FASS WEST,FASS WEST,1.0,11.0,11.0,IE,-6.0763,neighbour mean,False
2521,110.0,-8.1238358,53.9116793,1.1034,PQ,,0,FLAGFORD,FLAGFORD,1.0,2.0,2.0,IE,-11.949,geocoded,True
2522,220.0,-8.1238358,53.9116793,1.08799,PQ,,0,FLAGFORD,FLAGFORD,1.0,2.0,2.0,IE,-8.5311,geocoded,True
2541,110.0,-6.2623108,53.3357725,1.0653,PQ,,0,FRN ST A,FRN ST A,1.0,11.0,11.0,IE,-9.1681,neighbour mean,False
2551,110.0,-6.319565450000001,53.33946485,1.06721,PQ,,0,FRN ST B,FRN ST B,1.0,11.0,11.0,IE,-7.6533,neighbour mean,False
2561,110.0,-6.3257744,53.4124627,1.05885,PQ,,0,FIN_URBAN,FIN_URBAN,1.0,11.0,11.0,IE,-5.228,geocoded,True
2562,220.0,-6.3149241,53.4055029,1.06,PQ,,0,FINGLAS,FINGLAS,1.0,11.0,11.0,IE,-2.2057,geocoded,True
2563,220.0,-6.3149241,53.4055029,1.06,PQ,,0,FINGLAS220B,FINGLAS220,1.0,11.0,11.0,IE,-2.2057,geocoded,True
2571,110.0,-6.3149241,53.4055029,1.05599,PQ,,0,FIN_RURAL,FIN_RURAL,1.0,11.0,11.0,IE,-6.5815,geocoded,True
2581,110.0,-6.3761003,53.4105364,1.05129,PQ,,0,FINGLAS B5,FINGLAS B5,1.0,11.0,11.0,IE,-7.8296,neighbour mean,False
2591,110.0,-6.4171604,53.2829452,1.03751,PQ,,0,FORTUNESTOWN,FORTUNESTOWN,1.0,11.0,11.0,IE,-10.366,geocoded,True
2671,110.0,-8.1924874,54.1504588,1.12199,PQ,,0,GARVAGH,GARVAGH,1.0,1.0,1.0,IE,-13.6599,geocoded,True
2681,110.0,-7.9859944,53.9144475,1.10573,PQ,,0,GILRA,GILRA,1.0,3.0,3.0,IE,-12.2398,geocoded,True
2691,110.0,-6.4586834,53.6572305,1.04677,PQ,,0,GARBALLAGH,GARBALLAGH,1.0,7.0,7.0,IE,-10.9831,geocoded,True
2701,110.0,-6.2384064,53.4677716,1.03594,PQ,,0,GLASMORE,GLASMORE,1.0,11.0,11.0,IE,-7.8781,geocoded,True
2721,110.0,-6.5644585,53.3435573,1.05796,PQ,,0,GRIFFINRATH,GRIFFINRATH,1.0,11.0,11.0,IE,-7.5271,geocoded,True
2731,110.0,-9.3067693,51.925463,1.05187,PQ,27361-XX,0,GLANLEE,GLANLEE,1.0,5.0,5.0,IE,6.6748,geocoded,True
