group_id,region,group_name,context,station,pdf_page
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Buffy,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Macroom,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Carrigdangan,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Meentycat,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Castlebar,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Midleton,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Cathaleen's Fall,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Moneypoint,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Cauteen,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Moy,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Charleville,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Mulreavy,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Clahane,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Oughtragh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Cloghboola,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Rathkeale,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Coolnanoonagh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Reamore,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Coomagearlaghy,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Salthill,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Coomataggart,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Sliabh Bawn,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Cordal,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Slieve Callan,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Corderry,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Sligo,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Cunghill,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Sorne Hill,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Dallow,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Srahnakilly,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Dalton,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Tawnaghmore,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Derrybrien,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Thurles,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Dromada,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Tobertoreen,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Dunmanway,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Tralee,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Garrow,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Trien,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Garvagh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Trillick,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Glanlee,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Tullabrack,33
