name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
29501-LD,29501,AC,10.86,0.49,29501,HEUSTON SQUA,False
30804-LD,30804,AC,62.78,-0.59,30804,INCHICORE,False
31004-LD,31004,AC,29.04,4.02,31004,IKERRIN,False
32201-LD,32201,AC,16.48,0.38,32201,KILBARRY,False
32204-LD,32204,AC,73.81,1.97,32204,KILBARRY,False
32291-LD,32291,AC,5.43,1.09,32291,KILNAP,False
32302-I,32302,AC,35.64,5.08,32302,KILCARBERY,False
32404-LD,32404,AC,38.3,5.01,32404,KILTEEL,False
32604-LD,32604,AC,57.67,6.94,32604,HY_KILKENNY,False
32702-I,32702,AC,21.78,3.1,32702,KISHOGE,False
33004-LD,33004,AC,46.42,5.39,33004,KNOCKEARAGH,False
33201-I,33201,AC,23.66,10.99,33201,KNOCKUMBER,False
33502-I,33502,AC,116.85,38.41,33502,KELLYSTOWN,False
33801-I,33801,AC,10.19,2.44,33801,KINNEGAD,False
34001-LD,34001,AC,11.97,1.97,34001,KILLOTERAN,False
34301-I,34301,AC,35.0,5.62,34301,KILMAHUD,False
35004-LD,35004,AC,20.06,1.77,35004,LANESBORO,False
35404-I,35404,AC,11.68,3.84,35404,LIMERICK,False
35404-LD,35404,AC,90.71,6.54,35404,LIMERICK,False
35604-LD,35604,AC,39.15,8.16,35604,LISDRUM,False
35804-LD,35804,AC,74.24,8.14,35804,LETTERKENNY,False
36001-LD,36001,AC,26.07,1.84,36001,LIBERTY STRE,False
36503-I,36503,AC,66.0,0.0,36503,BARNAKYLE,False
36802-I,36802,AC,35.89,2.79,36802,AUNGIERSTOWN,False
37501-LD,37501,AC,20.65,-0.45,37501,MISERY HILL,False
37601-LD,37601,AC,23.14,-0.17,37601,MACE ESB,False
37602-I,37602,AC,4.58,0.55,37602,MACE IBM,False
38001-LD,38001,AC,16.92,1.38,38001,MIDLETON,False
38004-LD,38004,AC,31.33,3.76,38004,MIDLETON,False
38204-LD,38204,AC,58.66,11.41,38204,MEATHHILL,False
38601-LD,38601,AC,9.33,-0.23,38601,MILLTOWN,False
38701-LD,38701,AC,13.95,-0.33,38701,MILLTOWN,False
38804-LD,38804,AC,20.64,11.83,38804,MACROOM,False
39104-I,39104,AC,23.75,7.81,39104,METRO AIRPOR,False
39204-I,39204,AC,29.45,9.68,39204,METRO NORTH,False
39601-LD,39601,AC,21.73,0.9,39601,MARINA,False
39801-I,39801,AC,21.5,12.1,39801,MUNGRET,False
40001-LD,40001,AC,16.96,0.59,40001,MULLINGAR,False
40004-LD,40004,AC,38.44,4.33,40004,MULLINGAR,False
40102-I,40102,AC,58.41,8.32,40102,MOORETOWN,False
40204-LD,40204,AC,26.35,3.16,40204,MALLOW,False
40404-LD,40404,AC,30.2,1.54,40404,MOY,False
40602-I,40602,AC,4.46,1.33,40602,MULLAGHARLIN,False
40602-LD,40602,AC,3.75,-0.43,40602,MULLAGHARLIN,False
40801-LD,40801,AC,21.49,2.88,40801,MONREAD,False
41002-I,41002,AC,32.0,6.21,41002,NEWBURY,False
41102-I,41102,AC,43.0,7.17,41102,BANCROFT,False
42004-LD,42004,AC,52.19,5.57,42004,BIO_NEWBRIDG,False
42101-LD,42101,AC,24.5,-0.54,42101,NORTH QUAYS,False
42204-LD,42204,AC,75.29,9.33,42204,HY_NAVAN,False
42604-LD,42604,AC,27.95,5.36,42604,NENAGH,False
42802-I,42802,AC,11.11,2.63,42802,NANGOR,False
43604-LD,43604,AC,29.21,0.58,43604,HY_OUGHTRAGH,False
44001-LD,44001,AC,31.85,0.99,44001,POPPINTREE,False
