name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T2842-2841-28421-1-w2,star:2842-2841-28421-1,2841,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3082-3081-30822-2-w1,star:3082-3081-30822-2,3082,0.10975,-0.000625,250.0,1.0,-0.0,0,RATE1,2
T3082-3081-30822-2-w2,star:3082-3081-30822-2,3081,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3082-3091-30824-4-w1,star:3082-3091-30824-4,3082,0.11874999999999998,-0.00287500025,250.0,1.0,-0.0,0,RATE1,4
T3082-3091-30824-4-w2,star:3082-3091-30824-4,3091,0.12487500000000001,0.012487499001000003,999.0,1.0,-0.0,0,RATE1,4
T3192-3191-31922-1-w1,star:3192-3191-31922-1,3192,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T3192-3191-31922-1-w2,star:3192-3191-31922-1,3191,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3192-31911-31927-2-w1,star:3192-31911-31927-2,3192,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,2
T3192-31911-31927-2-w2,star:3192-31911-31927-2,31911,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3202-3201-32021-1-w1,star:3202-3201-32021-1,3202,0.1305,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,1
T3202-3201-32021-1-w2,star:3202-3201-32021-1,3201,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3203-3209-32022-2-w1,star:3203-3209-32022-2,3203,0.13174999999999998,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,2
T3203-3209-32022-2-w2,star:3203-3209-32022-2,3209,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T3282-3281-32821-1-w1,star:3282-3281-32821-1,3282,0.14666400000000002,0.0033075,63.0,1.0330578512396695,-0.0,0,RATE1,1
T3282-3281-32821-1-w2,star:3282-3281-32821-1,3281,0.12487499999999983,0.012487500000000002,999.0,1.0,-0.0,0,RATE1,1
T3282-3281-32822-2-w1,star:3282-3281-32822-2,3282,0.147924,0.0051975,63.0,1.0330578512396695,-0.0,0,RATE1,2
T3282-3281-32822-2-w2,star:3282-3281-32822-2,3281,0.12487499999999997,0.012487500000000002,999.0,1.0,-0.0,0,RATE1,2
T3282-3281-32823-3-w1,star:3282-3281-32823-3,3282,0.1265,-0.002125,250.0,1.0,-0.0,0,RATE1,3
T3282-3281-32823-3-w2,star:3282-3281-32823-3,3281,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T3282-32810-32824-4-w1,star:3282-32810-32824-4,3282,0.138125,-0.0003125,125.0,1.0330578512396695,-0.0,0,RATE1,4
T3282-32810-32824-4-w2,star:3282-32810-32824-4,32810,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T3332-3331-33321-1-w1,star:3332-3331-33321-1,3332,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T3332-3331-33321-1-w2,star:3332-3331-33321-1,3331,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3332-3331-33323-3-w1,star:3332-3331-33323-3,3332,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,3
T3332-3331-33323-3-w2,star:3332-3331-33323-3,3331,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T3342-3341-33421-1-w1,star:3342-3341-33421-1,3342,0.139,8.749999999999996e-05,125.0,1.0327377878756583,-0.0,0,RATE1,1
T3342-3341-33421-1-w2,star:3342-3341-33421-1,3341,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T3342-3341-33422-2-w1,star:3342-3341-33422-2,3342,0.139,-0.0005625,125.0,1.0327377878756583,-0.0,0,RATE1,2
T3342-3341-33422-2-w2,star:3342-3341-33422-2,3341,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,2
