name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
1801-17411-1,1801,17411,5.0457,1.6214,0.0004991735537190083,138.0,16.0,AC,0,RATE1,1
1811-3431-1,1811,3431,0.121,0.03629999999999999,8.264462809917356e-05,223.0,0.9,AC,0,RATE1,1
1811-3471-1,1811,3471,0.024200000000000003,0.012100000000000001,9.917355371900826e-06,169.0,0.1,AC,0,RATE1,1
1821-35011-1,1821,35011,26.813599999999997,11.507100000000001,0.00017355371900826448,122.0,64.76,AC,0,RATE1,1
1831-2091-1,1831,2091,13.09704,3.7669719999999995,0.00032884297520661157,159.0,33.33,AC,0,RATE1,1
1841-2351-1,1841,2351,1.0043,0.19360000000000002,8.264462809917356e-06,210.0,2.53,AC,0,RATE1,1
1841-5291-1,1841,5291,5.4692,1.331,4.462809917355372e-05,210.0,13.65,AC,0,RATE1,1
1841-5501-1,1841,5501,8.978200000000001,1.7423999999999997,6.694214876033058e-05,210.0,22.82,AC,0,RATE1,1
1861-2521-1,1861,2521,1.4157000000000002,0.6413,9.090909090909091e-06,121.0,3.4,AC,0,RATE1,1
1861-2521-2,1861,2521,1.3794,0.6292,9.090909090909091e-06,121.0,3.3,AC,0,RATE1,2
1861-10619-1,1861,10619,7.83233,1.5729999999999997,5.7851239669421495e-05,210.0,20.7,AC,0,RATE1,1
1871-2581-1,1871,2581,1.5367000000000002,0.4114,0.00030826446280991733,142.0,5.02,AC,0,RATE1,1
1871-20411-1,1871,20411,0.5203,0.10889999999999998,0.00016198347107438017,143.0,2.66,AC,0,RATE1,1
1881-2881-1,1881,2881,11.6765,5.082,7.438016528925619e-05,121.0,28.06,AC,0,RATE1,1
1881-3281-1,1881,3281,14.8951,4.6585,0.00010413223140495868,159.0,36.9,AC,0,RATE1,1
1881-4021-1,1881,4021,8.8451,1.7182,6.611570247933885e-05,210.0,22.5,AC,0,RATE1,1
1881-18810-1,1881,18810,0.43559999999999993,0.08470000000000001,0.00027355371900826444,140.0,3.0,AC,0,RATE1,1
1901-3341-1,1901,3341,2.2506,1.0164,1.4876033057851239e-05,123.0,5.4,AC,0,RATE1,1
1901-3341-2,1901,3341,2.1901,0.9922,1.4049586776859503e-05,123.0,5.27,AC,0,RATE1,2
1901-50619-1,1901,50619,7.3326,3.3154000000000003,4.710743801652893e-05,68.0,17.6,AC,0,RATE1,1
1921-1961-1,1921,1961,6.5703,2.9645000000000006,0.00015041322314049587,121.0,17.22,AC,0,RATE1,1
1921-4341-1,1921,4341,0.9559000000000002,0.4235,6.611570247933885e-06,33.0,2.3,AC,0,RATE1,1
1921-4351-2,1921,4351,0.9196,0.3993,5.785123966942148e-06,42.0,2.2,AC,0,RATE1,2
1921-4721-1,1921,4721,2.8556,1.2100000000000002,2.7272727272727273e-05,121.0,6.9,AC,0,RATE1,1
1921-5481-1,1921,5481,7.4415,3.2912,4.7933884297520656e-05,121.0,17.79,AC,0,RATE1,1
1931-4371-1,1931,4371,10.940456999999999,4.765585,7.223140495867768e-05,210.0,26.29,AC,0,RATE1,1
1931-4981-1,1931,4981,8.7967,3.6542000000000003,5.867768595041323e-05,210.0,21.1,AC,0,RATE1,1
1941-2401-1,1941,2401,5.8443000000000005,1.8271000000000002,4.132231404958678e-05,159.0,13.67,AC,0,RATE1,1
1941-4201-1,1941,4201,9.680000000000001,1.8755000000000002,7.190082644628098e-05,210.0,24.61,AC,0,RATE1,1
1941-4391-1,1941,4391,0.5324,0.10889999999999998,9.421487603305787e-05,210.0,2.0,AC,0,RATE1,1
1961-3201-1,1961,3201,3.1338999999999997,1.4157000000000002,2.8925619834710747e-05,121.0,7.59,AC,0,RATE1,1
1971-2731-1,1971,2731,0.11845900000000001,0.08470000000000001,8.983471074380164e-05,91.0,2.0,AC,0,RATE1,1
1971-16110-1,1971,16110,2.4804999999999997,0.484,2.2809917355371897e-05,190.0,6.3,AC,0,RATE1,1
1981-2821-1,1981,2821,4.2955,0.8349,3.2231404958677685e-05,210.0,10.9,AC,0,RATE1,1
1981-79016-1,1981,79016,11.444664,4.991250000000001,7.56198347107438e-05,121.0,27.5,AC,0,RATE1,1
1991-3641-1,1991,3641,1.064316,0.36457300000000004,0.00042322314049586773,91.0,8.4,AC,0,RATE1,1
2001-4791-1,2001,4791,7.5262,1.4641,6.115702479338842e-05,210.0,19.17,AC,0,RATE1,1
2001-5441-1,2001,5441,3.602775,0.8877769999999999,0.00045297520661157024,201.0,13.14,AC,0,RATE1,1
2002-2742-1,2002,2742,9.583200000000001,1.6456,9.194214876033059e-05,793.0,23.34,AC,0,RATE1,1
2002-3203-1,2002,3203,35.574,5.662800000000001,0.00024132231404958677,765.0,86.0,AC,0,RATE1,1
2011-2261-1,2011,2261,0.16940000000000002,0.03629999999999999,8.512396694214876e-05,228.0,0.9,AC,0,RATE1,1
2021-2591-1,2021,2591,0.10889999999999998,0.121,0.0001512396694214876,132.0,1.5,AC,0,RATE1,1
2021-3091-1,2021,3091,3.6420999999999997,1.3431,2.4793388429752065e-05,134.0,8.9,AC,0,RATE1,1
2041-2791-1,2041,2791,4.3439000000000005,0.847,3.2231404958677685e-05,210.0,11.05,AC,0,RATE1,1
2041-4621-1,2041,4621,5.2514,1.6335,3.7190082644628094e-05,171.0,13.0,AC,0,RATE1,1
2041-20411-1,2041,20411,0.012100000000000001,0.0,0.0,476.0,0.0,AC,0,RATE1,1
2042-2052-1,2042,2052,0.048400000000000006,0.0,0.0,999.0,0.0,AC,0,RATE1,1
2042-2072-1,2042,2072,0.33880000000000005,0.048400000000000006,0.00020247933884297523,730.0,2.0,AC,0,RATE1,1
2042-2072-2,2042,2072,0.29039999999999994,0.048400000000000006,0.00016611570247933882,730.0,1.64,AC,0,RATE1,2
2042-2562-1,2042,2562,1.5972,0.242,1.012396694214876e-05,513.0,3.73,AC,0,RATE1,1
2042-4012-1,2042,4012,0.7260000000000001,0.09680000000000001,0.00021095041322314047,593.0,3.73,AC,0,RATE1,1
2052-2563-2,2052,2563,1.5972,0.242,1.012396694214876e-05,513.0,3.73,AC,0,RATE1,2
2052-5462-2,2052,5462,7.502000000000001,1.0164,4.834710743801653e-05,513.0,17.83,AC,0,RATE1,2
2061-47210-1,2061,47210,0.29039999999999994,0.30250000000000005,0.0004148760330578513,124.0,4.12,AC,0,RATE1,1
2090-2111-1,2090,2111,0.49004999999999993,0.079981,0.00033223140495867765,220.0,3.42,AC,0,RATE1,1
2090-2781-1,2090,2781,3.75221,0.61105,0.0011368595041322312,185.0,25.53,AC,0,RATE1,1
