osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/151556701,Longford 38kV Substation,Longford 38kV Substation,LONGFORD,substation,ESB Networks,38,38.0,53.7484159,-7.8110246
way/1433898282,Longlands Avenue Substation,Longlands Avenue Substation,LONGLANDS AVENUE,substation,NIE Networks,,,54.6573927,-5.9287019
node/13188735013,Longwood Road Substation,Longwood Road Substation,LONGWOOD ROAD,substation,NIE Networks,,,54.6549611,-5.9217903
way/515103979,Lough Beg Substation,Lough Beg Substation,LOUGH BEG,substation,ESB Networks,38,38.0,51.8302056,-8.3056338
relation/9296897,Lough Hill,Lough Hill,LOUGH HILL,plant,B9 / Renewable Energy Systems (RES),,,54.6260302,-7.6109982
way/725697664,Lough Road Solar Farm,Lough Road Solar Farm,LOUGH ROAD SOLAR FARM,plant,,,,54.5566318,-6.1879957
way/302743829,Loughanalla 38kV Substation,Loughanalla 38kV Substation,LOUGHANALLA,substation,ESB Networks,38,38.0,53.6849983,-7.295122
way/185050348,Loughderryduff 38kV Substation,Loughderryduff 38kV Substation,LOUGHDERRYDUFF,substation,ESB Networks,38,38.0,54.8183858,-8.3764101
relation/15313063,Loughderryduff Wind Farm,Loughderryduff Wind Farm,LOUGHDERRYDUFF WIND FARM,plant,Highfield Renewable Energy,,,54.8224436,-8.3861139
way/98467349,Loughlinstown 38kV Substation,Loughlinstown 38kV Substation,LOUGHLINSTOWN,substation,ESB Networks,38,38.0,53.255112,-6.1436374
way/1497669531,Loughmore 38 kV Station,Loughmore 38 kV Station,LOUGHMORE,substation,ESB Networks,38,38.0,52.622075,-8.6634569
way/446110065,Loughrea 38kV Substation,Loughrea 38kV Substation,LOUGHREA,substation,ESB Networks,38;20;10,38.0,53.2076508,-8.6000745
way/326309495,Loughshinny 38kV Substation,Loughshinny 38kV Substation,LOUGHSHINNY,substation,ESB Networks,38,38.0,53.5473942,-6.106535
way/437164666,Loughtagalla 38 kV Substation,Loughtagalla 38 kV Substation,LOUGHTAGALLA,substation,ESB Networks,38;10,38.0,52.6903968,-7.7765145
way/264275258,Louth 275 kV Substation,Louth 275 kV Substation,LOUTH,substation,EirGrid,275;220;110,275.0,53.9674714,-6.5657571
way/449302266,Lucan East 38kV Substation,Lucan East 38kV Substation,LUCAN EAST,substation,ESB Networks,38,38.0,53.3608895,-6.4388112
way/441087086,Lumcloon 100MW BESS,Lumcloon 100MW BESS | Ferbane Power Station,LUMCLOON 100MW BESS | FERBANE,plant,Lumcloon Energy Limited,,,53.2273775,-7.7946989
way/270335282,Lumcloon 38kV Substation,Lumcloon 38kV Substation,LUMCLOON,substation,ESB Networks,38;20,38.0,53.2225198,-7.8196977
