station,method,osm,osm_name,osm_lat,osm_lon,eirgrid_lat,eirgrid_lon,distance_km,agrees
STEPHENSTOWN,exact,way/442121651,Stephenstown 110kV Substation,53.6013247,-6.1895932,53.6013359826286,-6.189618715848112,0.0020996472655192113,True
WOODHOUSE,exact,way/508026914,Woodhouse 110kV Substation,52.0822332,-7.7706666,52.08222173097582,-7.770644265907809,0.001988848487130975,True
POPPINTREE,exact,way/443112369,Poppintree 110kV Substation,53.4059932,-6.2720237,53.405995870326485,-6.2719944751642,0.0019598771911536073,True
RICHMOND,exact,way/151556697,Richmond 110kV Substation,53.743184,-7.857067,53.743167817719524,-7.857073442551611,0.0018485944936623535,True
BARRYMORE,exact,way/236651495,Barrymore 110kV Substation,52.0958683,-8.2546807,52.09586148455297,-8.254664374326827,0.0013483620780161399,True
TAWNAGHMORE,exact,way/616335906,Tawnaghmore 110kV Substation,54.1918026,-9.2178772,54.19179131912231,-9.21788054184284,0.0012730797770270522,True
CENTRAL PARK,exact,way/470024318,Central Park 110kV Substation,53.2702392,-6.2060635,53.27023664957126,-6.206078987707292,0.0010682528626536985,True
CARROWBEG,exact,way/179305213,Carrowbeg 110 kV Substation,53.8093444,-9.5059925,53.809352807734435,-9.505987472893914,0.0009914539638605823,True
BALLYBEG,exact,way/144584625,Ballybeg 110kV Substation,52.9909581,-6.0958665,52.990962608648985,-6.095878045301869,0.0009211405234951304,True
GLENREE,exact,way/181365675,Glenree 110 kV Substation,54.1053454,-8.9893244,54.10534719421637,-8.989319906401056,0.0003544357364914877,True
