name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
52704-52784-1,52704,52784,4.0940288,1.4029904,3.670360110803324e-05,49.0,11.5,AC,0,RATE1,1
52704-52794-1,52704,52794,2.304624,0.9876960000000001,0.0019113573407202214,44.0,21.0,AC,0,RATE1,1
52705-52714-1,52705,52714,2.304624,0.9876960000000001,0.0019113573407202214,44.0,21.0,AC,0,RATE1,1
52714-52744-1,52714,52744,2.3594959999999996,1.0108000000000001,0.0019598337950138506,44.0,21.5,AC,0,RATE1,1
52724-52764-1,52724,52764,0.9876960000000001,0.42309199999999997,0.0008240997229916899,44.0,9.0,AC,0,RATE1,1
53002-53012-1,53002,53012,1.12,0.704,2.5e-05,18.0,3.2,AC,0,RATE1,1
53002-53022-1,53002,53022,0.9103999999999999,0.572,2.5e-05,18.0,2.6,AC,0,RATE1,1
53004-53014-1,53004,53014,5.213562,4.9608620000000005,3.878116343490304e-05,21.0,13.3,AC,0,RATE1,1
53004-53024-1,53004,53024,3.24178,1.3891280000000001,0.002693905817174515,44.0,29.53,AC,0,RATE1,1
53024-53034-1,53024,53034,0.001444,0.0,0.0,49.0,0.0,AC,0,RATE1,1
53042-53062-1,53042,53062,1.1832,0.7927999999999998,0.000325,18.0,5.2,AC,0,RATE1,1
53052-53072-1,53052,53072,0.7,0.44,1.25e-05,18.0,2.0,AC,0,RATE1,1
53204-53214-1,53204,53214,1.094552,0.538612,9.695290858725761e-05,39.0,3.69,AC,0,RATE1,1
53204-53221-1,53204,53221,2.5992,2.023044,1.3850415512465375e-05,10.0,1.8,AC,0,RATE1,1
53404-53414-1,53404,53414,0.020215999999999998,0.008664,2.077562326869806e-05,44.0,0.18,AC,0,RATE1,1
53411-53431-1,53411,53431,1.3260000000000003,0.8478,0.0002,9.0,4.5,AC,0,RATE1,1
53421-53431-1,53421,53431,0.019799999999999998,0.0085,0.0,12.0,0.18,AC,0,RATE1,1
53604-68195-1,53604,68195,0.001444,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
53614-53624-1,53614,53624,1.5364159999999998,0.658464,0.0012742382271468144,44.0,14.0,AC,0,RATE1,1
53624-68284-1,53624,68284,0.001444,0.0,0.0,44.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
54401-54431-1,54401,54431,0.42,0.264,0.0001,9.0,1.2,AC,0,RATE1,1
54402-54425-1,54402,54425,2.015,1.29048,0.0002075,18.0,6.9,AC,0,RATE1,1
54404-54414-1,54404,54414,2.1167596,2.0142356,1.592797783933518e-05,26.0,5.4,AC,0,RATE1,1
54404-54424-1,54404,54424,3.4495716,3.2823564000000003,2.562326869806094e-05,26.0,8.8,AC,0,RATE1,1
54412-54422-1,54412,54422,2.015,1.29048,0.0002075,18.0,6.9,AC,0,RATE1,1
54422-54426-1,54422,54426,3.64,2.3448,0.000425,18.0,12.5,AC,0,RATE1,1
55004-55024-1,55004,55024,3.5609040000000003,1.22018,3.462603878116344e-05,60.0,10.0,AC,0,RATE1,1
55042-55052-1,55042,55052,0.084,0.068,0.0001,18.0,0.8,AC,0,RATE1,1
