name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
1201,110.0,-6.2094672,53.382358,1.02571,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-6.0584,exact
1211,110.0,-9.0797175,52.0059847,1.06908,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.705,truncated
1212,220.0,-9.0797175,52.0059847,1.04834,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.7234,truncated
1221,110.0,-6.9993402,52.9934345,1.03319,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-1.9604,exact
1231,110.0,-6.2495207,52.5378526,1.02154,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,2.1261,exact
1251,110.0,-9.240483,52.7756037,1.04486,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,4.6069,exact
1271,110.0,-6.4401389,53.5454415,1.02149,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-7.5787,exact
1281,110.0,-9.4296621,51.7239932,1.02953,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,10.5923,exact
1301,110.0,-6.0958665,52.9909581,1.01593,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-2.3937,exact
1311,110.0,-9.2855811,52.2145657,1.07543,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,9.8549,exact
1321,110.0,-6.8812414,53.2886399,1.02502,PQ,,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-6.015,exact
1331,110.0,-6.5335903,53.444432,1.02594,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-7.3062,exact
1341,110.0,-8.2634291,54.7189369,1.08137,PQ,,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-9.7823,exact
1351,110.0,-6.7752554,53.1859251,1.02769,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-5.8071,exact
1361,110.0,-7.5207213,52.361399,1.0012,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,5.3363,exact
1371,110.0,-6.3698501,53.4042822,1.01418,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,-7.6259,exact
1381,110.0,-8.3442652,51.8284805,1.0115,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,13.932,exact
1401,110.0,-9.5787377,54.1205007,1.07272,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,1.7699,exact
1411,110.0,-6.3674201,53.2968693,1.02228,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,-6.2253,exact
1421,110.0,-6.1746313,53.2914859,1.03275,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,-6.2769,exact
1431,110.0,-7.342814,52.7988347,1.02286,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,1.6262,exact
1441,110.0,-8.733195,51.7739278,1.01534,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,11.9079,exact
1451,110.0,-6.3610231,53.4034934,1.01423,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,-7.6177,exact
1461,110.0,-8.2546807,52.0958683,1.0103,PQ,,0,BARRYMORE,BARRYMORE,1.0,8.0,8.0,IE,10.0747,exact
1471,110.0,-6.2025287,53.409766,1.00212,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-9.202,exact
1472,220.0,-6.2025287,53.409766,1.01707,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-4.9342,exact
1481,110.0,-7.1703735,52.2286078,1.00945,PQ,,0,BUTLERSTOWN,BUTLERSTOWN,1.0,12.0,12.0,IE,6.0849,exact
1491,110.0,-6.4407825,53.6475064,1.02531,PQ,,0,DEENES,DEENES,1.0,7.0,7.0,IE,-7.5343,exact
1501,110.0,-8.7045456,51.7851436,1.01522,PQ,,0,BRINNY,BRINNY,1.0,6.0,6.0,IE,11.8991,exact
1511,110.0,-9.4380864,52.3305984,1.04976,PQ,,0,CLOGHBOOLA,CLOGHBOOLA,1.0,5.0,5.0,IE,7.875,exact
1521,110.0,,,1.04077,PQ,,0,BOGTOWN,BOGTOWN,1.0,11.0,11.0,IE,-5.864,
